created_at,LT (M2),LB (M2),KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,Deskripsi 
06-12-2021,210,120,3,2,,3,Denpasar ,SHM,3500,Utara,1550000000,https://www.rumah123.com/properti/denpasar/hos9291027/,"Lokasi sangat strategis,lingkungan tenang,aman n nyaman, 150m dari jln utama Gatsu Barat, 100m dari kolam renang Dharmapala, 500m dari SDK Kalam Kudus, 500m dari supermarket Tiara Gatsu n pom bensin.Jg Ace Hardware, Harga bs nego owner lgsg"
06-12-2021,300,280,3,2,1,1,Denpasar,SHM,7700,,4000000000,https://www.rumah123.com/properti/denpasar/hos9233227/,"Luas Tanah 300m2,Luas banguna 280m2, 3 kamar tidur,2 kamar mandi,Ruang tamu,Ruang keluarga,Dapur,Mini Bar,Pool di lantai 2,1 kamar pembantu,1 k. Mandi Pembantu,Garase Mobil,Semi furnish,Listrik 7700 kWH,SHM & IMB 2019,Akses jalan 4 mtr"
06-12-2021,300,280,6,6,1,1,Denpasar,SHM,5500,Timur,6500000000,https://www.rumah123.com/properti/denpasar/hos9233298/,"Luas tanah 300 M2,luas bangunan 280 m²,kamar tidur 6,kamar mandi 6,kamar pembantu 1,kamar mandi 1,ruang tamu,dapur,hadap timur,halaman,pool,garase,listrik 5500 Watt,sumber air sumur bor,SHM imb lengkap,akses jalan 4 mtr,harga 6.5M nego langsung pemilik"
06-12-2021,304,180,3,2,1,1,Denpasar,SHM,4400,,3000000000,https://www.rumah123.com/properti/denpasar/hos9233335/,Di Jual Cepaat dan Murah dengan Sweet Garden Lokasi di SANURLuas tanah 304 m2Luas Bangunan180m23 bed room2 bathroomOpen Living n DiningPantrySwimming Pool 3 X 13 Carport 1 mobil + motorR Service (km pembantu & km mandi)Londry roomSHM IMB lengkapHarga 3M
06-12-2021,186,280,3,3,3,3,Denpasar,SHM,3300,,3500000000,https://www.rumah123.com/properti/denpasar/hos9233490/,"Luas tanah 186m2,luas bangunan 280m2,3 kamar tidur (Lantai atas),2 kamar mandi,lantai bawah ""Salon"",garase,carport,IMB 1994,hadap Utara,akses jalan 8 meter,SHM,listrik 3300watt, harga 3,5 M Nego"
06-12-2021,150,100,2,2,1,1,Denpasar,SHM,2200,,1300000000,https://www.rumah123.com/properti/denpasar/hos9233443/,"Di Jual Rumah berada di Lingkungan yang Rapi dan Bersih Lokasi di Sanur,luas tanah 150m2,luas bangunan 100m2,2 kamar tidur,2 kamar mandi,ruang tamu,garase,listrik 2200watt,garase,SHM,akses jalan 6 meter,harga 1,3M"
06-12-2021,100,120,3,2,,,Denpasar,SHM,,,1300000000,https://www.rumah123.com/properti/denpasar/hos9290833/,"Rumah dijual lokasi pulau moyo pedungan denpasar selatan,luas tanah 100 m2,luas bangunan 120 m2,kamar tidur 3,kamar mandi 2,garasi,akses jalan 5 meter,harga 1,3 miliar"
06-12-2021,325,300,6,4,,,Denpasar,SHM,3300,,3000000000,https://www.rumah123.com/properti/denpasar/hos9233226/,"Luas tanah 325 m2, Luas bangunan 300 m2, Kamar tidur 9, Kamar mandi 4, Ruang tamu, Dapur, Garase, Halaman, Listrik 3500 watt, Sumber air sumur bor, Akses jl 6 mtr, Harga 3 M nego langsung pemilik"
06-12-2021,106,104,3,2,,,Denpasar,SHM,5500,,1150000000,https://www.rumah123.com/properti/denpasar/hos9290618/,"Luas Tanah 106 m2,luas Bangunan 104 m2,akses Jalan 5 meter (bisa pas-pasan 2 mobil),ada rooftop di lantai 3,lokasi nyaman di Perumahan,AC,garasi dan carport,Lantai 1 : 1 kamar tidur,1 kamar mandi,Dapur,Ruang makan,Ruang keluarga,Lantai 2 : 2 kamar tidur,1 kamar mandi,Ruang jemur,Lantai 3 : Rooftop,Taman,Tempat sembayang,Air PAM"
06-12-2021,300,120,2,2,,,Denpasar,SHM,2200,,2200000000,https://www.rumah123.com/properti/denpasar/hos9290380/,"2 menit ke Poltekkes Denpasar,2 menit ke SMAN 5 Denpasar,6 menit ke McDonald’s Sesetan,13 menit ke Plaza Renon,16 menit ke Rumah Sakit Umum Pusat Sanglah,luas Tanah: 300 m,luas Bangunan: 120 m2,bangunan 1 Lantai,kamar Tidur 2,kamar Mandi 2,listrik: 2,200 Watt,air Pompa,harga Sewa: 45 Juta/tahun *Minimal sewa 2 tahun, harga Jual: 2.200M"
