created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi
01 -12 - 2021,60,36,2,1,,1,Bandung Kota,SHM,1300,,250000000,https://www.rumah123.com/properti/bandung/hos9212583/,"PERUMAHAN MURAH SIAP HUNI 10 MENIT KE CIBADUYUT , PERUMAHAN DI KAWASAN YANG LAGI BERKEMBANG PESAT DAN TENTU NYA BAYAK DI CARI CALON BUYER DAN INVESTOR HARGA SANGAT BERSAING ,"
06 - 12 - 2021,90,48,2,1,,,Bandung Kota,SHM,1300,Timur,450000000,https://rumahdijual.com/bandung/9786732-dibawah-hargaa-developer-rumah-di-victoryland-ujungberung-bandung-hermawa.html,"Hunian aman nyaman dan asri di bandung timur. Hunian strategis berkonsep HEALTHY LIVING di Bandung Timur Ujungberung yang memiliki nilai Investasi sangat tinggi. Anda akan merasakan kesejukan yang khas dari Pegunungan, dan menikmati view Kota Bandung yang begitu indah.Hanya 1.4 Km ke jalan AH Nasution Buruan Hanya 450juta Nego tipis."
06 - 12 - 2021,162,100,3,2,1,,Bandung Kota,SHM,1300,Barat,1450000000,https://rumahdijual.com/bandung/11050394-rumah-di-kawaluyaan-indah-soekarno-hatta-bandung.html,"Lingkungan Perumahan cukup Tenang , Aman dan Nyaman, Akses jalan lebar, dekat dengan Masjid, Keamanan 24 jam, Bangunan sdh direnovasi, Hadap Barat, 5 menit, ke jalan Soekarno Hatta"
06 - 12 - 2021,77,77,3,1,,,Bandung Kota,SHM,900,Utara,610000000,https://rumahdijual.com/bandung/11445316-jual-murah-rumah-di-sarijadi-bandung-dekat-kampus.html,"SELLING POINT: 2 menit ke pasar, 5 menit ke Alfamart Dan Yomart, Kampus POLBAN, POLTEK POS, Kampus Maranatha, SMPN 26"
06 - 12 - 2021,224,231,4,3,,1,Bandung Kota,SHM,2200,Timur,1300000000,https://rumahdijual.com/bandung/9129940-rumah-strategis-di-tarogong-garut-dalam-komplek-dekat-kemana.html,"SELLING POINT : 50 m ke STAIPI persis ( Sekolah Tinggi Agama Ilmu Pendidikan Islam ), 50 m SOR ciateul (Sarana Olah Raga kab.Garut ), 200 m kantor Koramil garut, 700 m Kantor SAMSAT garut, 200 m UNPAD (universitas padjajaran) garut, 700 m Pom bensin ciateul, 700 m kantor pengadilan Agama garut, 100 m Kantor Kejaksaan garut, 100 m Kantor Disperindag garut, 600 m Kantor BPN Agraria garut, 100 m Klinik Baiturahman, 200 m pasar induk Guntur Ciawitali garut ., 300 m Terminal Guntur Garut, lokasi sangat strategis ,di area lingkungan perkantoran . cocok juga digunakan untuk kosan karyawan / mahasiswa. sangat dekat dengan objek wisata cipanas garut hanya 2 km . lokasi ke masjid / pendopo / alun alun garut 1,5 km ."
06 - 12 - 2021,72,40,2,1,,,Bandung Kabupaten,SHM,1300,,450000000,https://rumahdijual.com/bandung/10859779-cluster-eksklusif-dekat-area-buahbatu-siap-huni.html,"Bumi Harapan Cluster, rumah siap huni di kawasan yang sedang berkembang pesat di Bandung selatan. Lokasi sangat strategis, Dekat dengan akses tol Buahbatu. Dekat dengan Transmart Buahbatu. Dekat dengan Toserba Yogya Bojongsoang. Dekat dengan kampus Telkom University"
06 - 12 - 2021,122,113,4,2,1,1,Bandung Kota,SHM,2200,,1350000000,https://rumahdijual.com/bandung/11052643-dijual-rumah-siap-huni-di-arcamanik-bandung-timur.html,Selling Point : Dekat Youth Center Arcamanik. Dekat Puskesmas. Dekat Sekolah
06 - 12 - 2021,375,150,3,2,,1,Bandung Barat,SHM,2200,Utara,3000000000,https://rumahdijual.com/bandung/9557487-dijuaal-rumah-hitung-tanah-gegerkalong-wetan-bandung-iwansetiawan.html,"Bebas Banjir? : Bebas Banjir Line Telephon: Jumlah AC:, Lebar Akses Jalan: 5... Selling Point: Posisi rumah berada di ujung jalan posisi Hook, Dekat dengan Pondok Pesantren Daarut Tauhid, Berada di dalam lingkungan Perumahan Elit diantaranya, Perumahan Pondok Hijau, Perumahan Parahyangan Gegerkalong, Perumahan Papyrus, Komplek Perumahan Angkatan Darat"
06 - 12 - 2021,378,280,7,5,2,3,Bandung Kabupaten,SHM + IMB,4000,Utara,2200000000,https://rumahdijual.com/bandung/9585440-rumah-pinggir-jalan-katapang-soreang-10-menit-exit-tol.html,"Rumah Dijual di Katapang Bandung. IDR 2.200.000.000. JUAL CEPAT RUMAH PINGGIR JALAN KATAPANG SOREANG 10 MENIT EXIT TOL SOROJA BONUS BIAYA RENOV Jual cepat rumah dinamis multyfungsi bisa untuk tempat tinggal, kost kost an, gudang atau tempat usaha lainnya. Sudah ada ruangan untuk kerja dan ruangan untuk jualan."
08 - 12 - 2021,178,150,3,1,,1,Bandung Kota,SHM,1300,Selatan,5000000000,https://rumahdijual.com/bandung/8354872-rumah-dijual-di-cicendo-bandung.html,"Rumah Dijual di Cicendo Bandung IDR 5.000.000.000 Cocok buat penginapan, 100meter ke rumah dinas gubernur"
