created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi 
01-12-2021,999,300,2,1,,,"Gunung Bahagia, Balikpapan, Kalimantan Timur",HGB,900,Barat,6200000000,https://www.rumah123.com/properti/balikpapan/hos9265592/,"Dijual Rumah di Jl.Ke Lap.Terbang,- Komp. Decoriont H4, Gunung Bahagia, Balikpapan selatan. Sertifikat SHGB."
01-12-2021,300,84,3,2,,,"Balikpapan Utara, Balikpapan",SHM,1300,,700000000,https://www.rumah123.com/properti/balikpapan/hos8392306/,"Rumah Dijual Balikpapan RUMAH 1 LANTAI, ASRI"
01-12-2021,949,341,2,1,,,"Gunung Bahagia, Balikpapan",HGB,900,Barat,619000000,https://www.rumah123.com/properti/balikpapan/hos9265517/,"Dijual Rumah di Jl.Ke Lap.Terbang,- Komp. Decoriont H3-7, Gunung Bahagia, Balikpapan selatan.
Sertifikat SHGB."
01-12-2021,696,341,2,1,1,1,"Gunung Bahagia, Balikpapan",HGB,900,Timur,591000000,https://www.rumah123.com/properti/balikpapan/hos9265345/,"Dijual Rumah di Jl.Ke Lap.Terbang,- Komp. Decoriont H3-6, Gunung Bahagia, Balikpapan selatan.
Sertifikat SHGB."
01-12-2021,90,60,1,1,,,"Sungai Pinang, Samarinda",SHM,2200,,780000000,https://www.rumah123.com/properti/samarinda/hos9264628/,"Dijual Rumah siap huni
Di Perumahan Citraland
Jln DI Panjaitan
Samarinda
Lt: 90m2, Lb: 60m2, Kt: 1, Km:1, PDAM, Listrik: 2200watt, SHM, Furnish, Harga : 780jt nego"
02-12-2021,211,400,4,4,,,"Balikpapan Baru, Balikpapan",SHM,2200,,2500000000,https://www.rumah123.com/properti/balikpapan/hos9266517/,"Rumah Dijual Balikpapan Rumah mewah, harga bisa nego tipis, row jalan bisa 2 mobil , dekat sekolah ipeka, one gate sistem, lokasi strategis tengah kota"
02-12-2021,96,45,2,1,,,"Balikpapan Selatan, Balikpapan",SHM,1300,,330000000,https://www.rumah123.com/properti/balikpapan/hos9266960/,"Rumah Dijual Balikpapan. HUNIAN BARU SIAP PAKAI
HANYA BEBERAPA MENIT DENGAN BANDARA INTERNASIONAL SEPINGGAN BALIKPAPAN
RUMAH MINIMALIS
DEKAT DENGAN PASAR TRADISIONAL"
02-12-2021,96,45,2,1,,,"Balikpapan Selatan, Balikpapan, Kalimantan Timur",SHM,1300,,300000000,https://www.rumah123.com/properti/balikpapan/hos9266960/,"Rumah Dijual Balikpapan  HUNIAN BARU SIAP PAKAI

- HANYA BEBERAPA MENIT DENGAN BANDARA INTERNASIONAL SEPINGGAN BALIKPAPAN

- RUMAH MINIMALIS

- DEKAT DENGAN PASAR TRADISIONAL"
02-12-2021,1120,700,10,7,,,"Samboja, Kutai Kartanegara",SHM,2200,,1200000000,https://www.rumah123.com/properti/kutai-kartanegara/hos9267017/,"Rumah Dijual Kutai Kartanegara RUMAH NOL JALAN. TERDAPAT BEBERAPA BANGUNAN DI DALAM AREA YANG DIJUAL.
BANGUNAN TERDIRI DARI 2 RUMAH, 3 KOS-KOSAN DAN 1 MINI RUKO. TERDAPAT HALAMAN DI BAGIAN BELAKANG DAN PAGAR DI SEKELILING AREA PROPERTI.
JUMLAH KAMAR TIDUR DAN KAMAR MANDI YANG TERTERA ADALAH JUMLAH TOTAL YANG TERDAPAT DI DALAM SELURUH BANGUNAN YANG ADA."
03-12-2021,864,288,3,2,,2,"Pontianak Kota, Pontianak",SHM,5500,Timur,2000000000,https://www.rumah123.com/properti/pontianak/hos9276334/,"Rumah Putri Candra Midi, Pontianak, Kalimantan Barat. Lokasi Jl. Putri Candra Midi, Gg. Catur Jaya. Hadap Timur; Lokasi Tengah Kota;
Tenang dan Aman;
Taman Belakang Sangat Luas"
03-12-2021,200,375,6,6,,,"Pontianak Tenggara, Pontianak",SHM,3500,,4500000000,https://www.rumah123.com/properti/pontianak/hos9275773/,"Rumah Ar. Saleh IA, Pontianak, Kalimantan Barat. Luas Tanah 10m x 20m
Luas Bangunan 10m x 15m x 2,5Lt
K. Tidur 6; K. Mandi 6
PDAM; PLN 3500w
Full Furnish Baru & Mewah
Sewakan Plus Full Furnish"
03-12-2021,120,135,3,2,,,"Pontianak Selatan, Pontianak",SHM,1300,,1050000000,https://www.rumah123.com/properti/pontianak/hos9275029/,"Rumah Merdeka, Gg. Kakaktua, Pontianak, Kalimantan Barat. Luas Tanah 10m x 12m
Luas Bangunan 10m x 9m x 1,5Lt
K. Tidur 3; K. Mandi 2
PDAM; PLN 1300w"
