created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga (Rp),URL,deskripsi 
27-11-2021,72,45,2,1,,1,tanjung seneng bandar Lampung,SHM,1300,,238000000,https://www.olx.co.id/item/rumah-murah-komersil-griya-annisa-iid-847593719,"keunggulan : Lokasi strategis di tengah kota

Bandarlampung, Keamanan 24 jam, ada pos Satpam, Lingkungan perumahan aman dan nyaman"
5-12-2021,384,192,2,2,,,"Perumnas Mustika Raya 1, Lampung Selatan, Lampung",SHM,450 Va/R-1,,300000000,https://www.olx.co.id/item/dijual-rumah-kolam-ikan-2-kavling-perumahan-iid-821295872,"terdapat 2 kolam ikan, sumur bor, tandon, mesin pompa"
8-12-2021,407,323,5,3,2,2,"Kedaton, Bandar Lampung",SHM,3500 Watt,,2750000000,https://rumahdijual.com/lampung/11241855-rumah-mewah-bandar-lampung-dekat-unila.html,"Lokasi strategis, lingkungan rumah mewah, dekat dengan pusat pembelanjaan, dan dekat dengan tol"
5-12-2021,1716,1871,109,106,,,"Rajabasa, Bandar Lampung",SHM,Token,Selatan,11000000000,https://rumahdijual.com/lampung/9635319-kost-mewah-baru-terisi-full-dengan-keuntungan-besar-bandar.html,"FASILITAS KAMAR:
1. Kmr lebih Besar 4x4 dg SpringBed 160cm Kelas Hotel *3, lengkap dg Jendela.
2. Komplit dg: AC, ANDROID SMART TV, K. Mandi Dalam, Air Panas, Toilet Duduk, Lemari + Cermin Besa"
5-12-2021,391,,7,7,,,"Teluk Betung Utara, Bandar Lampung",SHM,Token,,1000000000,https://rumahdijual.com/lampung/10121111-rumah-ex-kost-ex-walet-kupang-teba-murah.html,"sumber air tanah, bebas banjir, butuh renovasi"
4-12-2021,75,60,3,1,1,,"Gedong Meneng, Bandar Lampung",SHM,1300 Watt,Timur,330000000,https://rumahdijual.com/lampung/11690650-1-unit-terakhir-rumah-siap-huni-depan-kampus-unila.html,"Sumur bor, palfov pvc, granit double louding, sumber air borsibble, bebas banjir"
2-12-2021,60,36,2,1,1,1,Tanjung Karang Barat Kota Bandar Lampung,SHM,900 Watt,,150000000,https://rumahdijual.com/lampung/11715397-perumahan-2-kamar-tipe-subsidi-di-bandar-lampung.html,"sumber air bor, bebas banjir, dekat dengan puskesmas dan pasar, free DP"
2-12-2021,75,100,3,2,1,1,"Rajabasa, Bandar Lampung",SHM,1300 Watt,Barat,490000000,https://rumahdijual.com/lampung/11263392-rumah-dua-lantai-rumah-murah-lampung-rumah-dekat-kawasan.html,"bangunan 2 lantai, sumur bor 1 rumah, lantai granit, plafon gypsum"
25-11-2021,48,105,2,1,1,,"Rajabasa, Bandar Lampung",SHM,1300 Watt,Utara,415000000,https://rumahdijual.com/lampung/11540711-rumah-komesrsil-murah-lampung-rumah-lokai-strategis.html,"Biaya AJB, lantai granit, closet duduk, sumber air sumur bor, dinding bata merah, plafon pvc"
4-12-2021,72,36,2,1,1,1,"Sukarame, Lampung",SHM,1300 Watt,Timur,200000000,https://rumahdijual.com/lampung/11554042-rumah-subsidi-siap-huni-lengkap-di-sukarame-bandar-lampung.html,"rumah dihook, bebas banjir, sudah ada teras dan dapur dan kelebihan tanah 33 meter, siap huni"
4-12-2021,72,36,2,1,1,1,"Sukarame, Lampung",SHM,1300 Watt,Timur,150500000,https://rumahdijual.com/lampung/11111753-ini-rumah-subsidi-bukan-rumah-komersil-angsuran-955-rb.html,"bebas banjir, sumber air arthesis, plafon full pvc, keramik motif, tinggi bangunan 4 meter"
2-12-2021,50,105,2,1,,1,Bandar Lampung,SHM,1300 Watt,Barat,385000000,https://rumahdijual.com/lampung/11262184-rumah-siap-huni-rumah-murah-lampung-kawasan-pednidikan-lampung.html,"bebas banjir, sumber air sumur bor, lokasi strategis, lantai granit, kithen zink, bangunan 1 lantai"
4-12-2021,145,80,2,2,2,,Bandar Lampung,SHM,1300 Watt,,800000000,https://rumahdijual.com/lampung/8352369-rumah-di-perum-elite-bukit-kencana-bandar-lampung.html,"Bebas banjir, lokasi strategis, rumah 1 lantai, sumber air sumur bor, lantai granit "
27-11-2021,180,90,3,2,1,,Lampung,SHM,1300 Watt,,585000000,https://rumahdijual.com/lampung/9817995-rumah-mewah-nan-asri-di-jl-pulau-singkep-sukabumi.html,"sumber air sumur bor, rumah 1 lantai, bebas banjir"
4-12-2021,72,36,2,1,1,1,"Sukabumi, Lampung",SHM,1300 Watt,Timur,150000000,https://rumahdijual.com/lampung/10840084-rumah-subsidi-plus-bentuk-komersil-kualitas-komersil-angsuran-950an.html,"Sumur bor, sertifikat PBB+IMB, tidak ada AC, bebas banjir, bisa diakses mobil, lokasi aman"
3-12-2021,60,119,2,1,,1,"Sukabumi, Lampung",SHM,1300 Watt,Utara,425000000,https://rumahdijual.com/lampung/11753314-rumah-komersil-murah-lampung-rumah-letak-strategis-pinggir-jalan.html,"bebas banjir, sumber air sumur bor, akses dekat dengan pusat kota, rangka atap baja ringan"
6-12-2021,72,36,2,1,1,,Bandar Lampung,SHM,1300 Watt,,170000000,https://rumahdijual.com/lampung/9791968-cluster-hajimena-promo-dp5jt-type36-72-type45-96-tlp.html,"rumah 1 lantai, sumber air bor, bebas banjir. akses menuju tempat kerja/usaha dekat"
6-12-2021,94,75,3,2,,1,"Jalan H. Komarudin, Lampung",SHM,1300 Watt,,100000000,https://rumahdijual.com/lampung/10753337-perumahan-cluster-2-bisa-cash-dan-kredit-syariah-tanpa.html,"bebas banjir, sumber air sumur bor, mobil bisa masuk"
6-12-2021,71,36,2,1,1,,"Jalan Terusan Ryacudu, Lampung",SHM,900 Watt,,150500000,https://rumahdijual.com/lampung/8287780-griya-jati-asri-4-itera-promo-dp1jt-all.html,"bebas banjir, sumber air: bor, lantai keramik, plafon gypsum, genting metal, rangka atap baja ringan"
6-12-2021,84,45,2,1,1,,"Jalan Sitara, Lampung",SHM,1300 Watt,,30000000,https://rumahdijual.com/lampung/10219777-kredit-rumah-tanpa-bank-syariah-perum-merak-1-tlp.html,"sumber air: bor, bebas banjir, bangunan 1 lantai, angsuran bisa sampai 100 bulan"
6-12-2021,104,55,2,1,1,1,"Jalan Ratu Dibalau, Bandar Lampung",SHM,1300 Watt,,310000000,https://rumahdijual.com/lampung/8564008-promo-dp31jt-tlp-wa-085384626841-anara-residence.html,"rangka atap baja ringan, sumber air sumur bor, plafon gypsum, lantai ruangan keramik, bebas banjir"
3-12-2021,117,117,,,,,"Pringsewu, Jalan Ahmad Yani, Lampung",SHM,,Utara,68500000,https://rumahdijual.com/lampung/11764150-tanah-kavling-murah-tanpa-dp-promo-akhir-tahun-gading.html,"tanah kavling tanpa riba, sumber air sumur bor, bisa diakses berbagai kendaraan, bebas banjir"
4-12-2021,90,45,2,1,1,,"Jalan Cendana 2, Lampung Selatan",,1300 Watt,,250000000,https://rumahdijual.com/lampung/10917466-promo-dp-khusus-perum-surya-alam-permai-tlp-wa.html,"rumah lantai 1, sumber air: gali, bebas banjir, tersisa beberapa unit lagi"
2-12-2021,54,100,2,2,1,1,"Jatimulyo, Lampung Selatan",SHM,1300 Watt,Barat,260000000,https://rumahdijual.com/lampung/11541183-rumah-syariah-tersisa-2-unit-jatimulyo.html,"Bebas banjir, sumber air sumur bor, akses menuju pusat pembelanjaan dan kantoran dekat"
30-11-2021,84,45,2,1,1,,"Jalan Sitara, Cluster Merak, Lampung",SHM,1300 Watt,,150000000,https://rumahdijual.com/lampung/10875324-cluster-merak-1-natar-promo-dp5jt-all-tlp-wa.html,"Sumber air sumur bor, bebas banjir, bangunan 1 lantai, bisa kredit syariah tanpa bank"
27-11-2021,105,54,2,1,,1,"Natar, Branti, Lampung Selatan",SHM,1300 Watt,,350000000,https://rumahdijual.com/lampung/8573073-rumah-depan-bandara-raden-inten-lampung-hanya-100-meter.html,"Bebas banjir, bisa diakses berbagai kendaraan, berada di depan bandara raden inten"
4-12-2021,2200,100,4,2,1,1,"Kecamatan Terbanggi Besar, Lampung Tengah",SHM,1300 Watt,Barat,5500000000,https://rumahdijual.com/lampung/11757058-rumah-tanah-2000-m-pinggir-jalan-raya-terbanggi-besar.html,"sumber air: PAM, bebas banjir, rumah 2 lantai, lokasi strategis, dekat dengan gerbang tol"
4-12-2021,161,85,5,3,1,,"Tanjung Karang Timur, Bandar Lampung",SHM,1300 Watt,Barat,675000000,https://rumahdijual.com/lampung/11567141-rumah-di-jual-bu-cepat-yang-cari-rumah-di.html,"sumber air PDAM dan sumur gali, bebas banjir, tidak ada AC, tidak ada koneksi internet, lokasi strategis"
16-10-2021,84,45,2,1,1,1,"Kota Baru, ITERA Lampung",SHM,1300 Watt,,260000000,https://rumahdijual.com/lampung/11514704-rumah-murah-itera.html,"bebas banjir, sumber air sumur bor, closed duduk, taman, rumah 1 lantai, atap genting"
26-09-2021,88,70,3,2,,1,"Jalan Swadaya, Purnawirawan, Lampung",SHM,1300 Watt,,350000000,https://rumahdijual.com/lampung/9772892-hunian-komersil-tengah-kota-gunter-estate-purnawirawan-bandar-lampung.html,"bebas banjir, sumber air bor,torrenr, dan mesin, lantai granit, plafon gypsum, baja ringan"
22-09-2021,108,70,3,2,1,1,"Jalan Merbau Kecapi, Tanjung Gading, Bandar Lampung",SHM,1300 KWh,,525000000,https://rumahdijual.com/lampung/10102766-rumah-mewah-tanjung-karang-timur.html,"Bebas banjir, sumber air sumur bor, ada koneksi internet, plafon gypsum, taman, pintu minimalis"
11-09-2021,1560,650,6,5,5,,"Jalan Cendana, Tanjung Karang Timur, Bandar Lampung",SHM,Token,,8600000000,https://rumahdijual.com/lampung/9310194-jual-cepat-rumah-mewah-di-bandar-lampung-siap-huni.html,"Terdapat AC, genset, dan pemanas air, bebas banjir, sumber air PDAM, rumah 2 lantai"
10-09-2021,90,45,2,1,,1,"Jalan Haji Said, Kota Baru, Lampung",SHM,1300 Watt,Timur Laut,455000000,https://rumahdijual.com/lampung/10337679-rumah-kedamaian-kota-baru.html,"Sumber air bor, bebas banjir. plafond gypsum, closet duduk, struktur bangunan besi tulang"
08-09-2021,75,45,2,1,,1,"Jalan Kupang Raya, Teluk Betung, Bandar Lampung",SHM,1300 Watt,,355000000,https://rumahdijual.com/lampung/10849292-rumah-murah-dekat-pahoman-bandar-lampung.html,"Lingkungan asri, lokasi strategis, bebas banjir, akses kendaraan luas"
01-09-2021,143,64,2,2,1,,"Jalan Pulau Singkep, Sukarame, Bandar Lampung",SHM,1300 Watt,,450000000,https://rumahdijual.com/lampung/10841656-rumah-murah-komersil-bandar-lampung-lokasi-dekat-kampus-uin.html,"Bebas banjir, bangunan 1 1/2 lantai,  bebas banjir, sumber air sumur bor"
3-12-2021,178,110,3,2,1,1,"Jalan Purnawirawan, Lampung",SHM,1300 Watt,Timur,550000000,https://rumahdijual.com/lampung/11691470-rumah-siap-huni-kota-bandar-lampung-dekat-mall-dan.html,"Bangunan 1 lantai, lokasi strategis, bebas banjir, sumur air borsibble, ada sambungan internet"
5-12-2021,400,375,5,5,,1,"Jalan Way Paguyuban, Pahoman, Bandar Lampung",SHM,1300 Watt,Utara,3000000000,https://rumahdijual.com/lampung/11690496-rumah-strategis-siap-huni-belakang-rri-pahoman-bandar-lampung.html,"Bebas banjir, ada telepon rumah, sumber air bor sibble, taman ruangan outdoor, lokasi strategis"
15-11-2021,379,56,11,11,,1,"Kota Prabumulih, Sumatera Selatan",SHM,1300 Watt,,1100000000,https://www.iklanrumah.com/list/detail/36283/jual-rumah-10-kamar-kost-di-kota-prabumulih-dekat-rsud-kota-prabumulih-dan-rs-ar-bunda,"Lokasi strategis, sumber air dari jet pump, rumah 2.5 lantai, lokasi asri dan nyaman"
27-10-2021,160,85,3,1,,1,"Banyuasin, Talang Kelapa",SHM,1300 Watt,,600000000,https://www.iklanrumah.com/list/detail/34851/rumah-dijual-murah-di-palembang-dekat-indogrosir-palembang-dan-ptc-mall-palembang,"sumber air jet pump dan PAM, rumah dibangun sejak 2019, lokasi strategis, dan bebas banjir"
17-10-2021,215,215,7,3,1,1,"Palembang, Ilir Barat",SHM,1300 Watt,,2300000000,https://www.iklanrumah.com/list/detail/34190/rumah-strategis-multifungsi,"Bebas banjir, sumber air PDAM, lokasi strategis, bisa sebagai rumah tinggal maupun kost"
16-10-2021,182,143,3,3,,1,"Palembang, Sako",SHM,2300 Watt,,1300000000,https://www.iklanrumah.com/list/detail/34097/dijual-rumah-townhouse-baru-2-lantai-lokasi-strategis-dekat-ptc-mall-palembang,"Lingkungan tenang dan nyaman, bahan bangunan berkualitas, lokasi strategis, sumber air PAM dan sumur"
