created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi
06-12-2021,145,126,3,3,,1,Medan Johor,SHM,2200,,1500000000000,https://www.rumah.com/listing-properti/dijual-samera-djohor-oleh-steven-19272779,Rumah berkualitas samera
06-12-2021,108,100,3,3,,1,Medan Helvetia,SHM,2200,,951000000,https://www.rumah.com/listing-properti/dijual-rumah-mewah-medan-kota-setiabudi-dr-mansyur-0853-3488-3388-oleh-davin-mulia-19120654,"PERUMAHAN SATU""NYA DI JL BESAR RING ROAD HARGA HANYA 900 JUTA-AN BISA MENDAPATKAN RUMAH EXCLUSIVE, JALAN BESAR, LOKASI YANG SANGAT STRATEGIS & ROW KOMPLEK 12 METER !"
06-12-2021,72,98,2,3,,1,Medan Amplas,SHM,2200,,738000000,https://www.rumah.com/listing-properti/dijual-rumah-konsep-spanyol-pertama-di-medan-oleh-steven-19315657,"Pulau IBIZA Spanyol Hadir di Kota Medan Private Villa dengan Fasilitas Mewah & Hunian Nyaman untuk Keluarga & Komunitas Anda
Komplek yang sudah Terbentuk & Berkembang dengan di Hadirkan Cluster Baru IBIZA membuat Komplek Semakin Ramai & Bernilai"
06-12-2021,90,78,3,2,,,Medan Sunggal,SHM,,,950000000,https://www.rumah.com/listing-properti/dijual-komplek-habitat-setia-budi-ringroad-oleh-sandra-wibawa-17620503,Komplek Habitat Setia Budi - Ringroad. Harga : 950 Juta nego
05-12-2021,84,102,3,3,,1,Medan Johor,SHM,1300,,888800000,https://www.rumah.com/listing-properti/dijual-medan-resort-city-oleh-chandra-awi-17032964,"Terinspirasi oleh keindahan NETHERLANDS (Belanda), kawasan resident MERCI menggunakan POLDER SYSTEM (sistem pompa drainase anti banjir seperti di negeri Belanda) dengan teknologi terdepan serta memiliki penghijauan hingga 30% dari luas area. Dengan desain rumah yang mewah serta taman yang indah,"
04-12-2021,55,130,3,3,,1,Medan Helvetia,SHM,2200,,850000000,https://www.rumah.com/listing-properti/dijual-promo-rumah-cantik-di-kota-free-all-in-oleh-afrizal-19387121,"promo spektakuler
FREE SEMUA BIAYA"
04-12-2021,120,90,3,2,,1,Medan Selayang,SHM,1300,,495000000,https://www.rumah.com/listing-properti/dijual-rumah-murah-letak-strategis-di-setiabudi-oleh-afrizal-19376024,Rumah Murah Di Setia Budi
04-12-2021,204,180,4,3,,1,Medan Selayang,SHM,2200,,2400000000,https://www.rumah.com/listing-properti/dijual-rumah-memukau-harga-terjangkau-di-setiabudi-oleh-afrizal-19376432,Rumah Cantik dan Mewah di Ringroad - Setia budi
04-12-2021,86,52,2,2,,,Medan Timur,SHM,1300,,510000000,https://www.rumah.com/listing-properti/dijual-rumah-harga-perdana-kawasan-krakatau-cemara-di-komplek-carilla-haus-oleh-iffa-19296079,TERBARU DARI HAUS Development
04-12-2021,45,75,2,2,,,Medan Deli,SHM,1300,,585000000,https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-di-komplek-mulia-town-house-oleh-iffa-19295551,Tidak susah untuk keluar masuk mobil angat dekat dengan tol tanjung mulia sekitar 5menit sampai pintu tol!!! waw!! juga sangat dekat dengan Pertamina dan rumah sakit MARTHA FRISKA dan dekat dengan sekolah sutomo2
