created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi
12/6/2021,150,225,4,4,,1,Padang,SHM,2200,,999000000,https://www.rumah123.com/properti/padang/hos9290816/,"Perumahan Griya Elok townhouse,Padang adalah sebuah perumahan mewah dan megah yang baru berkembang dengan mengusung tema bali. Perumahan Griya Elok townhouse juga Memeliki beberapa type salah satunya type 10 yang kami tawarkan.kami juga menerima custom rumah,dan untuk biaya penambahan custom/design disesuaikan dengan permintaan customer. Letak GriyaElok townhouse juga sangat strategis."
12/1/2021,52,100,3,2,1,,Padang,SHM,1300,,455000000,https://www.realoka.com/202442-rumah-elegant-dekat-bandara-di-padang-pariaman,Pilihan tepat untuk berinvestasi di CLUSTER BIM?!!!
12/4/2021,160,98,3,3,,1,Padang,SHM,2200,Timur,1470000000,https://www.rumah123.com/properti/padang/hos9282736/,"Cluster Kubu Dalam Indah II
Hadir untuk memenuhi kebutuhan hunian yang Strategis
Dengan desain yang bisa di REQUEST sesuai permintan.
Free :
* Kitchen set
* Canopi
Segera hubungi kami. Unit terbatas.."
12/5/2021,168,60,2,1,1,1,Padang,SHM,1300,Timur,675000000,https://www.rumah123.com/properti/padang/hos9159982/,"setelah sukses dengan PREMIUM MAWAR PUTIH. 
kembali lagi hadirkan Grand MAWAR PUTIH. 
Hunian nyaman di kawasan PREMIUM 
Kota padang, dengan pilihan : 
•        Blok A1, 
Tipe 60/186 
harga Rp 675 juta, 
•        Blok A.2 
Tipe 70/182 
harga 750 juta 
buruan....... unit terbatas"
12/15/2021,142,100,2,1,,1,Padang,SHM,1300,Timur,675000000,https://www.rumah123.com/properti/padang/hos9285700/,"Dijual Rumah Cluster
Ready 1 Unit dan Bisa Pesan Bangun
Lokasi : Dekat Komp. Perm Polda Depan TMP Kuranji Padang
Dengan :
LT : 142 M², LB : 100 M², KT : 2, KM : 1
Lantai Granit
Pintu Banio Cat Duco
Dapur 1 Bonus kitchen set
Plus Taman Luar Dalam
Unit terbatas"
12/4/2021,179,151,3,2,1,1,Padang,SHM,1300,,550000000,https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-hook-di-padang-lokasinya-di-komplek-taruko-1-bypass-oleh-rahmat-suwandi-17052387,"Dijual cepat rumah di Komplek Taruko 1 Bypass (km 9) Kota Padang
# LT/LB = 178/150 m2
# Posisi Hook
# Hadap Timur dan Utara
# Garasi = 1, Carport = 1
# Lingkungan bebas banjir
# Zona bebas dari tsunami
# Dekat dengan musholla
# Lingkungan sangat nyaman"
11/14/2021,100,45,2,1,,1,Padang,SHM,1300,,500000000,https://www.99.co/id/properti/rumah-dijual-500jt-batang-anai-kpr-406222590,"MILIKI SEGERA RUMAH IDAMAN ANDA HANYA DI CLUSTER BIM PADANG.
Hanya 600 meter dari Pintu gerbang Bandara Internasional Minangkabau
SKEMA ????% SYARIAH"
12/4/2021,98,36,2,1,,1,Padang,SHM,1300,,200000000,https://www.99.co/id/properti/rumah-dijual-200jt-koto-tangah-623776104,"Keunggulan:
Berada di lokasi perumahan
10 menit ke bandara
5 menit ke pasar lubuk buaya
Lokasi aman dan nyaman
Fasilitas umum disekitar lingkungan lengkap"
12/3/2021,115,52,2,2,,1,Padang,SHM,1300,Utara,550000000,https://www.99.co/id/properti/rumah-dijual-550jt-padang-utara-993235521,Rumah dijual di Ampang Alai Padang lokasi sangat strategis dekat pasar alai dekat dengan SPBU dekat ke swalayan budiman.
12/1/2021,84,39,2,1,1,1,Padang,SHM,1300,,285000000,https://www.99.co/id/properti/rumah-dijual-285jt-kuranji-787387240,"Lokasi : Jln.Lolo kasiak Gunung sarik, Kuranji (Belakang RSUD by pass, Kuranji)"
11/25/2021,150,48,2,1,,1,Padang,SHM,2200,,485000000,https://www.99.co/id/properti/rumah-dijual-485jt-koto-tangah-703369699,"Keunggulan:
Desain minimalis modern 
Masih banyak kelebihan tanah dibelakang rumah, bisa di jadikan taman
Lokasi strategis, dekat pusat kota
Dekat kampus UNP
Dekat kampus Baiturahmah
Dekat kantor balaikota"
12/6/2021,75,90,4,5,,1,Padang,SHM,220,,699000000,https://www.rumahku.com/p/BM5NN634/rumah-dijual-katapiang-padang-pariaman-25586,"*UNDANGAN*
*SURVEY SERENTAK EKSKLUSIF*
*PERUMAHAN SYARIAH CLUSTER BIM PADANG PARIAMAN*
*PERUMAHAN TERDEKAT DARI BANDARA BIM SUMBAR, HANYA 600 METER DARI GERBANG BANDARA*
Hadirilah Acara *SURVEY SERENTAK EKSKLUSIF* yang akan di adakan pada :
🗓️ Hari : Ahad, 31 Januari 2021
🕝 Pukul : 13.30 - 17.00 WIB
📍Lokasi : JL Akses Bandara BIM, Padang Pariaman
*Hanya Di Survey Serentak ini Anda Akan Mendapatkan Bonus dan Potongan Harga Menarik*
Apakah anda sudah mempersiapkan Lingkungan Terbaik Untuk Investasi Anda?
Bayangkan jika kita memiliki aset tidak hanya bernilai investasi yang menguntungkan, namun juga menuai berkah berkelimpahan.
Alhamdulillah Telah Hadir, Perumahan dengan lokasi yang strategis Hanya 600 meter dari gerbang bandara BIM Padang Pariaman
*Ke Bandara BIM Sumbar Ditempuh HANYA 5 MENIT dengan JALAN KAKI*
Saatnya Mewujudkan Impian Anda Memiliki Rumah Untuk Investasi Terbaik
Perumahan ekslusif untuk anda dengan harga terjangkau dan lokasi strategis. *Nikmati kenaikan investasi property anda seiring pertumbuhan infrastuktur di sekitar lokasi Cluster BIM*
—— *CLUSTER BIM*——
#RealProyekRealSyariah
⛔ Tanpa Bank
⛔ Tanpa Bunga/Riba
⛔ Tanpa Denda
⛔ Tanpa Sita
⛔ Tanpa Akad Bathil
⛔ Tanpa Pinalty
Dengan Fasilitas Hunian :
🏕 Perumahan Sistem Cluster
✅ One Gate System
✅Terdapat Musholah
✅ Tersedia Taman Bermain
✅ Free WIFI 12 Bulan
🎦 CCTV
🛃 Security 24 Jam
📍📍📍 *Lokasi sangat strategis untuk Investasi*
✈ 600 Meter Ke Bandara Internasional Minang Kabau
🏢600 m dari Rencana Pembanguna Pariaman City (Mall dan Hotel)
🏫 600 m dari Polsek BIM Olo Bangau
🏫 800 m ke Kantor KPP kelas II Padang
🏫 2 Menit Ke Hotel Buana Lestari Syariah
🏫 2 Menit Kantor Otoritas BIM
🏫 4 Menit Ke BMKG
🏫 4 Menit Ke SMK Penerbangan Kataping
🏢 5 Menit Ke CHIP (Cristine Hakim Idea Park)
🛣 10 Menit Ke gerbang TOL sumbar - Riau
=================
Acara Ini *GRATIS TANPA DIPUNGUT BIAYA* !
Info lebih lanjut WA:
Agus Pramono
0822 9969 4253
Wassalamu'alaikum Warahmatullahi Wabarakatuh
==================""
"
