created_at,LT,LB,KT,KM,Garasi,Carport,Lokasi,Sertifikat,Listrik,Hadap,Harga,URL,Deskripsi
25 - 10 - 2021,131,85,3,2,-,-,"Anggrek, Gorontalo",HGB,1300,-,RP. 200.000.000,https://www.rumah123.com/properti/gorontalo/hos9049724/,"Lokasi di dalam komplek, dekat puskesmas , polsek dan terminal"
07 - 07 - 2021,825,620,10,4,10,10,"JI. Hos Cokroaminoto, Biluhu, Gorontalo",SHM,3300,-,RP. 7.000.000.000,https://www.rumah123.com/properti/gorontalo/hos8402100/,"Sangat strategis di tengah kota
Rumah usaha cocok untuk, Kantor, Restaurant, kafe,mini market, hotel, tempat kost. lokasi 300m dari Citymall gorontalo."
23 - 10 - 2021,825,365,7,3,5,2,"JI. Hos Cokroaminoto, Biluhu, Gorontalo",SHM,16500,Timur,RP. 7.500.000.000,https://www.rumah123.com/properti/gorontalo/hos9040729/,"MAU TINGGAL LANJUTIN USAHA?? ATAU MAU RUMAHNYA AJA??

bisa banget. Nego harga dan apa yang menguntungkan kedua pihak."
02 - 01 - 2021,1500,600,5,3,8,8,"Anggrek, Gorontalo",SHM,2200,-,RP. 2.500.000.000,https://www.rumah123.com/properti/gorontalo/hos7734736/,"
Di jual rumah dan tanah beserta bangunan walet dan 1 unit rumah di belakang.lokasi sangat strategis besar dan luas masih ada tanah di samping ukuran 11x50."
02 - 07 - 2021,952,875,28,28,-,-,"Palu Selatan, Palu",SHM,-,-,RP. 1.500.000.000,https://www.rumah123.com/properti/palu/hos8516437/,"Dijual dengan harga murah!
Rumah kost besar di Jalan Garuda Palu, Sulawesi Tengah.
UNFURNISHED.
Lokasi sangat strategis dekat dengan bandara hanya 5 menit, 28 unit kamar kost = kamar mandi dan dapur ada d dalam kamar kost serta setiap unit ada meteran listrik dan PAM.
Lokasinya pun bebas banjir dan dekat dengar pusat belanja serta Universitas."
27 - 06 - 2021,1000,456,4,3,4,4,"Palu Timur, Palu",SHM,2200,-,RP. 1.500.000.000,https://www.rumah123.com/properti/palu/hos8494775/,"RUMAH TINGGAL, DENGAN HALAMAN LUAS,LOKASI SANGAT STRATEGIS, GARASI UNTUK 3 MOBIL, TAMBAHAN KAMAR 2 DIBELAKANG, DAN DAERAH AMAN GEMPA DAN BANJIR,BANGUNAN KUAT"
06 - 03 - 2021,291,200,5,4,2,2,"Palu Selatan, Palu",SHM,2200,-,RP. 2.000.000.000,https://www.rumah123.com/properti/palu/hos8005079/,"rumah berlokasi ditengah Kota Palu, dekat
kemana-mana.
Model modern minimalis
Zona hijau, air mudah.
"
26 - 11 - 2020,117,80,3,2,1,1,"Poasia, Kendari",SHM,2200,-,RP. 495.000.000,https://www.rumah123.com/properti/kendari/hos7604076/,"Perumahan Modern di Kendari Hunian eksklusif dengan berbagai macam fasilitas yang mengusung konsep bernuansa Villa hijau alami yang dikembangkan secara modern. View Kota Kendari Diatas Perbukitan Yang yang Sejuk dan Asri AKses : 5 Menit Ke Kantor Gubernur Sultra 5 Menit Ke Kantor Polda Sultra 10 Menit Ke Kampus Universitas Haluoleo 10 Menit Kepasar Andonuhu 15 Menit Ke Rumah Sakit Kota Kendari, 15 Menit Ke Mesjid Al-Alam Kendari 30 Menit ke Bandara udara Haluoleo"
23 - 03 - 2021,115,50,2,1,1,1,"Poasia, Kendari",SHM,1300,-,RP. 340.000.000,https://www.rumah123.com/properti/kendari/hos8067971/,Rumah Siap Huni Type 50 Desain Kekinian Di Kota Kendari Dijual Rumah Di Cluster Daerah Kendari Dijual Rumah Cluster di Daerah Kendari Lb. 50/ Lt. 115 Kt. 2 Km. 1 Type 1 Lt Fasilitas: - Carport - Taman pribadi - Garasi Harga : Rp 325.000.xxx Akses : - 2 km dari Kantor Gubernur Dan Polda Sultra - 2 Km Ke Pasar Andonuhu - 3 Km Ke Rumah Sakit Abunawas Kendari - 5 Km Ke Kampus UHO Kendari
19 - 01 - 2021,152,100,3,2,1,1,"Mandonga, Kendari",SHM,2200,-,RP. 795.000.000,https://www.rumah123.com/properti/kendari/hos7800428/,Dijual Rumah Mewah dengan desain modern Di Jl. Gersamata Wua Wua Kendari. 
