Created_at,LT(m²),LB(m²),KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,Deskripsi
06-12-2021,135,140,4,3,,,Sambikerep,SHGB,3500,selatan,2300000000,https://onlist.id/detil/dijual-rumah-citraland-pelican-hill-288828,"DIJUAL RUMAH CITRALAND PELICAN HILL
Spesifikasi :
LB/LT 140/135 (9x15), K.Tidur 3 + 1 pembantu, K Mandi 2 + 1 pembantu, lisrik (watt) 3500, air pdam,hgb,imb ada,hadap selatan,harga 2,350 M turun jadi 2,3 M nego"
29-11-2021,50,52,3,2,,1,Wiyung,SHM,1300,,1120000000,https://www.rumah.com/listing-properti/dijual-2-lantai-smart-home-mansion-free-ppn-free-bphtb-siap-huni-oleh-kendrew-giovanni-19347842,"NEW Mansion Nine Residence - Wiyung
Rumah Ready Stock Bisa Serah Terima
On frame : Type Kingston
Luas 6x12 = 72m2, Luas bangunan 80m2, 3 Bedroom, 2 Bathroom, Carport 1 Sampai 2 Mobil*, Listrik 2200w, Taman Depan-Belakang"
04-12-2021,47,75,2,2,1,,Tenggilis Mejoyo,,1300,,815000000,https://www.rumah.com/listing-properti/dijual-cluster-eksklusif-kutisari-selatan-800-jutaan-2-lantai-dekat-petra-rsi-jemursari-rs-royal-rungkut-oleh-tyo-rohman-19265569,"• Mini Cluster Tengah Kota Surabaya Selatan . • Lokasi Strategis 250 Meter ke Jalan Raya Kutisari • Harga Dibawah 1 M • Design Minimalis • Sertifikat SHM • Bebas Banjir • Unit Terbatas Hanya 10 Unit Saja !

- Luas tanah : 5 x 9 dan 4,7 x 10 - Luas bangunan 75 - Hadap Utara dan Hadap Selatan - 2 kamar tidur - 2 kamar mandi - Bangunan 2 Lantai - Row Cluster 5 Meter - Row Utama 7 Meter - Indent 6 bulan ( STU tepat Waktu) - Tandon bawah - Bata Ringan - Pondasi Batu Umpak - finishing cat - Atap Galvalum"
15-11-2021,130,130,2,2,,,Sawahan,SHM,2200,selatan,2750000000,https://www.rumah.com/listing-properti/dijual-ciputra-world-oleh-ferry-19158877,"Premium Superblock in the heart of West Surabaya
Mall phase 2 on progress
Luas 130m2, Type 3 BR (modified to 2BR), KT : 2, KM : 2, Dapur. Ruang Makan, Ruang Gudang, Ruang Kantor, Ruang Keluarga, Furnished mewah interior design plus elektronik, AC : 4 Unit, Hadap selatan, View City .Tower Vue lantai 32

Harga IDR 2,75 M nego"
03-12-2021,107,110,3,3,,,Tandes,SHM,5500,timur,1800000000,https://www.rumah.com/listing-properti/dijual-rumah-mewah-darmo-harapan-indah-hook-oleh-tan-putra-19376793,"Rumah mewah Darmo Harapan Indah hook
NEW GRESS! Rumah Darmo Harapan Indah hook

Luas tanah 107m2 (8x14), Luas bangunan 110m2, 2 lantai, Kamar tidur 3, Kamar mandi 3, Hadap timur - utara, Hook, Listrik 5500 watt, PDAM, FREE tandon atas + bawah, canopy, pompa air, Instalasi air panas tiap kamar mandi, SHM, IMB, PBB
Harga 1,8M nego"
03-12-2021,122,186,4,3,2,,Rungkut,SHM,4400,,2300000000,https://www.rumah.com/listing-properti/dijual-jual-rumah-baru-bagus-minimalis-nirwana-ex-blok-cc-dekat-indomaret-alfamart-oleh-daniel-sugondo-19133588,"Dekat indomaret alfamart

Hadap utara, LT 7x17.5 (122.5), LB 186, KT 3 +1 KM 2+1, Perabot sebagin ditinggal, Listrik 4400watt, Selling point Pintu duma, toto
Jual cepat 2.3m nego"
15-12-2021,200,280,6,5,,,Mulyorejo,SHGB,,selatan,5500000000,https://www.rumah.com/listing-properti/dijual-pakuwon-city-casa-tobago-termurah-di-grand-island-minimalis-full-furnish-oleh-junaidy-18826803,"Pakuwon City Casa Tobago
Minimalis Full Furnish
LT 10x20=200 | LB 280 | 2 lantai
KT 4+2 | KM 4+1 (3KM dalam)
HGB | Hadap Selatan
5.5M nego tipis"
09-12-2021,428,450,5,4,2,2,Wiyung,SHM,11000,utara,12500000000,https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-siap-huni-graha-famili-blok-n-oleh-tan-putra-19332241,"Lokasi strategis dekat gate masuk utama
Dekat club house ROCCA, Monopole, The Rosebay

Luas tanah 428m2 (15x28,5), Luas bangunan +-450m2, 2 lantai, Kamar tidur 4+1 (master bedroom ada di lantai 1 dan lantai 2), Kamar mandi 3+1, Hadap utara, Carport 2 mobil, Garasi 2 mobil, Row jalan 3 mobil, Taman depan, taman belakang letter L. Listrik 11.300 watt, PDAM, Sertifikat HGB murni (bisa dinaikkan SHM),  Harga Rp 12,5 Miliar nego tipis, (Last bid 11M)
"
06-11-2021,40,51,3,2,,1,Gubeng,SHM,2200,selatan,1050000000,https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-dharmahusada-surabaya-timur-lokasi-strategis-cocok-untuk-investasi-oleh-dian-19223319,"CCTV lingkungan 24 jam dan CCTV depan rumah
One gate system with access card
Cyber park
Smart home system
Free electric door lock"
03-12-2021,78,88,3,2,,1,Gunung Anyar,SHM,2200,timur,1265000000,https://www.rumah.com/listing-properti/dijual-central-park-merr-3-bedroom-by-griyo-mapan-sentosa-oleh-kendrew-giovanni-19217164,"Manfaatkan Momen Akhir Tahun 2021
- FREE PPN 10%
- FREE BPHTB 5%
Senilai RATUSAN JUTA RUPIAH"
