created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi
06-12-2021,163,95,3,1,,1,Condong Catur,SHM,2200,Timur,1400000000,https://www.rumah123.com/properti/sleman/hos9291568/,"Rumah di Condong catur halaman luas, 1 lantai, dalam perumahan dekat UGM, dekat Hartono Mall dan swalayan Superindo, Pasar Colombo, RS. JIH dan Sardjito, bank, minimarket, dan tempat kuliner"
06-12-2021,80,50,2,1,1,1,Wonosari,SHM,1300,Selatan,306000000,https://www.rumah123.com/properti/gunung-kidul/hos9291517/,"Kenggulan : Lokasi setrategis, 5 menit kepusat kota, desain modern, spek berkualitas, harga terjangkau, fasilitas lengkap, one gate system, lebar jalan kawasan 7 meter
Fasilitas : Taman, Playground, Pos Satpam, keamanan 24 jam
Skema Pembayaran : CASH, CASH BERTAHAP, KPR Inhouse Hingga 10th ( Dengan DP Maupun Tanpa DP )"
06-12-2021,335,500,14,8,1,1,Gondokusuman,SHM,4400,,4750000000,https://www.rumah123.com/properti/yogyakarta/hos8984956/,"Harga Sesuai, Respon cepat!
Cocok untuk : Kantor / hotel/ Guest House/komersil area lainnya.
Lokasi dekat dengan : UGM, UNY, Sanata Dharma, UAJ, UKDW, RS Panti Rapih, RS Dr Mata Yap, SMPN, Galeria Mall, Ambarukmo Plaza, Stasiun Tugu / Malioboro."
06-12-2021,100,120,4,2,,1,Kotagede,SHM,2200,Barat,1500000000,https://www.rumah123.com/properti/yogyakarta/hos9290870/,"Rumah mewah 3 Lantai dalam kota Yogyakarta , lokasi 50 m dari Jalan utama Tegal Gendu. Sangat srategis untuk homestay atau penginapan."
06-12-2021,100,70,3,2,,2,Kotagede,SHM,2200,Barat,910000000,https://www.rumah123.com/properti/yogyakarta/hos9290654/,Dijual rumah 2 lantai di tengah kota Jogja. Dekat dengan Terminal Giwangan dan Kampus UAD. Cuma 50 meter dari Jalan Tegal Gendu. Type rumah 70/100 dengan 3 kamar tidur dan 2 kamar tidur dan ditunjang dengan akses masuk yang begitu nyaman untuk mobil.
06-12-2021,100,70,3,2,,2,Kotagede,SHM,2200,Barat,915000000,https://www.rumah123.com/properti/yogyakarta/hos9290555/,Dijual rumah 2 lantai di tengah kota Jogja. Dekat dengan Terminal Giwangan dan Kampus UAD. Cuma 50 meter dari Jalan Tegal Gendu. Type rumah 70/100 dengan 3 kamar tidur dan 2 kamar tidur dan ditunjang dengan akses masuk yang begitu nyaman untuk mobil.
06-12-2021,336,350,5,4,,2,Jetis,SHM,5500,Timur,5700000000,https://www.rumah123.com/properti/yogyakarta/hos9290363/,"dijual rumah baru lokasi dekat tugu Yogyakarta, lokasi nyaman dan strategis di tengah kota."
06-12-2021,133,90,3,2,,1,Kotagede,SHM,1300,Utara,975000000,https://www.rumah123.com/properti/yogyakarta/hos9287117/,"Rumah baru tinggal proses finishing Lokasi di Tinalan Kotagede Kodya Akses terdekat :
200m ke SMPN 9 YK
100m ke SMAN 5 Puspanegara YK
700m ke Pasar Kotagede"
05-12-2021,135,150,3,3,1,1,Maguwoharjo,SHM,2200,Selatan,1350000000,https://www.rumah123.com/properti/yogyakarta/hos9285889/,Rumah 2 Lantai MEWAH dan MURAH Dalam Perumahan dekat Kampus UPN
05-12-2021,93,85,2,1,,1,Umbulharjo,SHM,2200,,949000000,https://www.rumah123.com/properti/yogyakarta/hos9285575/,"RUMAH MURAH 2 LANTAI DI JOGJA, Rumah murah 2 lantai di Kota Yogyakarta miliki segera, akses dekat terminal bus Giwangan, miliki segera hunian ini."
